,0,1,2,3,4,5,6,7,8,9,10,11
27,177,谢尔文-麦克,灰熊,7.90,3.00-7.30,41.4%,0.90-2.40,35.9%,1.00-1.40,70.7%,53,22.70
28,177,达柳斯-米勒,鹈鹕,7.90,2.60-6.60,39.7%,1.90-5.10,37.6%,0.70-0.90,83.7%,49,25.30
29,177,PJ-塔克,火箭,7.90,2.80-6.90,39.8%,1.80-4.90,36.4%,0.60-1.00,64.7%,53,35.40
30,177,马里奥-海佐尼亚,尼克斯,7.90,3.00-7.40,40.6%,0.70-2.50,27.7%,1.20-1.70,69.3%,44,19.00
31,181,安东尼奥-布莱克尼,公牛,7.80,3.00-7.10,42.3%,0.80-1.80,45.7%,0.90-1.40,67.9%,40,14.50
32,181,托马什-萨托兰斯基,奇才,7.80,2.90-5.80,49.4%,0.70-1.70,42.4%,1.30-1.70,78.9%,53,24.00
33,181,梅森-普拉姆利,掘金,7.80,3.20-5.30,59.8%,0.00-0.10,16.7%,1.40-2.60,52.9%,53,20.00
34,181,迈克尔-基德-吉尔克里斯特,黄蜂,7.80,2.90-5.90,48.3%,0.20-0.80,27.8%,1.90-2.40,78%,46,19.80
35,185,多里安-芬尼-史密斯,独行侠,7.70,2.90-6.20,46.1%,1.00-3.00,34.6%,0.90-1.40,66.7%,52,24.60
36,185,埃文-特纳,开拓者,7.70,3.20-6.90,47%,0.10-0.80,16.7%,1.10-1.50,69.2%,51,24.10
37,187,胡安-埃尔南戈麦斯,掘金,7.60,2.60-5.60,46.3%,1.20-3.20,39.8%,1.20-1.60,77.8%,51,23.30
38,187,兰斯-史蒂芬森,湖人,7.60,2.90-6.40,44.6%,1.10-2.90,38.8%,0.80-1.10,67.2%,53,16.20
39,189,乔治-希尔,雄鹿,7.50,2.80-6.20,45%,0.80-2.50,33.7%,1.10-1.40,81.5%,40,22.90
40,189,斯坦利-约翰逊,活塞,7.50,2.80-7.30,38.1%,1.10-3.80,28.2%,0.90-1.10,80.4%,48,20.00
41,191,丹特-埃克萨姆,爵士,7.40,2.60-6.00,43.2%,0.50-1.50,30.5%,1.70-2.20,79.1%,39,16.30
